ISSN,titulo.x,Estrato_ca,titulo.y,Estrato_plan
0001-706X,ACTA TROPICA,A2,ACTA TROPICA,A1
1809-4422,AMBIENTE & SOCIEDADE (ONLINE),A2,AMBIENTE & SOCIEDADE (ONLINE),A2
1414-753X,AMBIENTE E SOCIEDADE (CAMPINAS),A2,AMBIENTE E SOCIEDADE (CAMPINAS),A2
0929-1393,APPLIED SOIL ECOLOGY (PRINT),A1,APPLIED SOIL ECOLOGY (PRINT),A2
1402-2001,APPLIED VEGETATION SCIENCE,A2,APPLIED VEGETATION SCIENCE,A2
0044-8486,AQUACULTURE (AMSTERDAM),A2,AQUACULTURE (AMSTERDAM),A1
1530-261X,ATMOSPHERIC SCIENCE LETTERS,A2,ATMOSPHERIC SCIENCE LETTERS,A2
1442-9985,AUSTRAL ECOLOGY (PRINT),A2,AUSTRAL ECOLOGY (PRINT),A2
0960-3115,BIODIVERSITY AND CONSERVATION,A2,BIODIVERSITY AND CONSERVATION,A2
1471-2458,BMC PUBLIC HEALTH (ONLINE),A2,BMC PUBLIC HEALTH (ONLINE),A1
1678-4464,CADERNOS DE SAÚDE PÚBLICA,A2,CADERNOS DE SAUDE PUBLICA,A1
1678-4464,CADERNOS DE SAÚDE PÚBLICA,A2,CADERNOS DE SAÚDE PÚBLICA,A1
1678-4464,CADERNOS DE SAÚDE PÚBLICA,A2,CADERNOS DE SAÚDE PÚBLICA (ONLINE),A1
0102-311X,CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO),A2,CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO),A1
1678-4464,CADERNOS DE SAÚDE PÚBLICA (ONLINE),A2,CADERNOS DE SAUDE PUBLICA,A1
1678-4464,CADERNOS DE SAÚDE PÚBLICA (ONLINE),A2,CADERNOS DE SAÚDE PÚBLICA,A1
1678-4464,CADERNOS DE SAÚDE PÚBLICA (ONLINE),A2,CADERNOS DE SAÚDE PÚBLICA (ONLINE),A1
0104-7760,CERNE (LAVRAS),A2,CERNE (UFLA),A2
0104-7760,CERNE (UFLA),A2,CERNE (UFLA),A2
0264-2751,CITIES,A2,CITIES,A1
1755-263X,CONSERVATION LETTERS,A1,CONSERVATION LETTERS,A1
0960-9822,CURRENT BIOLOGY,A1,CURRENT BIOLOGY,A1
1877-3435,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY (PRINT),A1,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY (PRINT),A1
1568-0266,CURRENT TOPICS IN MEDICINAL CHEMISTRY (PRINT),A1,CURRENT TOPICS IN MEDICINAL CHEMISTRY (PRINT),A2
0011-5258,DADOS (RIO DE JANEIRO. IMPRESSO),A2,DADOS (RIO DE JANEIRO. IMPRESSO),A1
2328-4277,EARTH'S FUTURE,A1,EARTH'S FUTURE,A2
1413-4152,ENGENHARIA SANITÁRIA E AMBIENTAL,A2,ENGENHARIA SANITÁRIA E AMBIENTAL,A2
1809-4457,ENGENHARIA SANITÁRIA E AMBIENTAL (ONLINE),A2,ENGENHARIA SANITÁRIA E AMBIENTAL (ONLINE),A2
1866-6280,ENVIRONMENTAL EARTH SCIENCES,A2,ENVIRONMENTAL EARTH SCIENCES (PRINT),A2
1866-6280,ENVIRONMENTAL EARTH SCIENCES (PRINT),A2,ENVIRONMENTAL EARTH SCIENCES (PRINT),A2
0091-6765,ENVIRONMENTAL HEALTH PERSPECTIVES,A1,ENVIRONMENTAL HEALTH PERSPECTIVES,A1
1364-8152,ENVIRONMENTAL MODELLING & SOFTWARE,A1,ENVIRONMENTAL MODELLING & SOFTWARE,A2
0167-6369,ENVIRONMENTAL MONITORING AND ASSESSMENT,A2,ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT),A1
0167-6369,ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT),A2,ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT),A1
0013-9351,ENVIRONMENTAL RESEARCH (NEW YORK),A1,"ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)",A1
0013-9351,"ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)",A1,"ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)",A1
0944-1344,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,A1,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,A1
1806-9592,ESTUDOS AVANÇADOS (ONLINE),A2,ESTUDOS AVANÇADOS (ONLINE),A2
1806-9592,ESTUDOS AVANÇADOS (USP.IMPRESSO),A2,ESTUDOS AVANÇADOS (ONLINE),A2
0377-2217,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,A1
0885-6087,HYDROLOGICAL PROCESSES (PRINT),A1,HYDROLOGICAL PROCESSES (PRINT),A1
0262-6667,HYDROLOGICAL SCIENCES JOURNAL,A2,HYDROLOGICAL SCIENCES JOURNAL,A1
1939-1404,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,A2,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,A2
